depths	NGAM
13.81	43.0884085
13.82	43.0884085
13.83	41.79227882
13.84	43.0884085
13.85	46.2948617
13.86	44.2788607
13.87	44.96079652
13.88	43.050473
13.89	42.23215001
13.9	40.79872994
13.91	40.32182648
13.92	41.95937568
13.93	40.52595561
13.94	39.09343877
13.95	41.41292379
13.96	41.68569812
13.97	42.6413115
13.98	42.16350481
13.99	42.70905347
14	44.619377
14.01	44.2788607
14.02	41.61795616
14.03	43.05047299
14.04	42.57266631
14.05	42.57266631
14.06	44.45318337
14.07	43.97537668
14.08	45.88570021
14.09	43.15705369
14.1	45.54428068
14.11	48.41021759
14.12	47.04544272
14.13	46.22711973
14.14	46.7040232
14.15	47.60634622
14.16	45.15047404
14.17	46.10518419
14.18	46.58299088
14.19	46.03744222
14.2	45.08182884
14.21	45.55963553
14.22	45.55963553
14.23	44.97615137
14.24	44.97615137
14.25	41.633311
14.26	41.29189148
14.27	40.3362781
14.28	39.79072944
14.29	38.83601929
14.3	41.5646658
14.31	40.13214897
14.32	39.22982594
14.33	39.22982594
14.34	36.84169572
14.35	35.88698557
14.36	39.09343877
14.37	39.57124546
14.38	37.7973091
14.39	39.22982593
14.4	38.27511578
14.41	37.7973091
14.42	39.38879375
14.43	37.47847023
14.44	37.95627692
14.45	37.06930873
14.46	37.2056959
14.47	37.75124456
14.48	36.68995371
14.49	34.77963018
14.5	36.21305024
14.51	35.25743687
14.52	36.6899537
14.53	34.30272672
14.54	35.25743686
14.55	34.64324301
14.56	33.21072617
14.57	35.05330773
14.58	36.00801788
14.59	34.0064685
14.6	34.96208188
14.61	33.05175835
14.62	31.51266081
14.63	31.51266081
14.64	28.10117525
14.65	28.68556263
14.66	28.68556263
14.67	28.20775595
14.68	28.68556263
14.69	27.52582012
14.7	26.57020675
14.71	24.79627038
14.72	26.86556173
14.73	25.97859355
14.74	26.04723874
14.75	24.6147219
14.76	25.0238834
14.77	25.22801253
14.78	24.75110907
14.79	26.28930338
14.8	27.10852959
14.81	28.88246596
14.82	28.40465927
14.83	28.88246596
14.84	27.92685258
14.85	28.13188494
14.86	27.85911061
14.87	28.54104643
14.88	27.92685258
14.89	26.33536792
14.9	27.70014279
14.91	26.74452941
14.92	27.97291712
14.93	27.49511043
14.94	28.24569145
