DEPTH	NGAM
22.67	12.08
22.68	12.3
22.69	12.01
22.7	12.16
22.71	12.3
22.72	12.44
22.73	12.58
22.74	12.73
22.75	12.87
22.76	13.01
22.77	13.16
22.78	13.59
22.79	13.59
22.8	13.59
22.81	13.59
22.82	13.59
22.83	13.59
22.84	13.59
22.85	13.59
22.86	13.59
22.87	13.16
22.88	13.08
22.89	13.01
22.9	12.94
22.91	12.87
22.92	12.8
22.93	12.73
22.94	12.66
22.95	12.58
22.96	12.94
22.97	12.94
22.98	12.94
22.99	12.94
23	12.94
23.01	12.94
23.02	12.94
23.03	12.94
23.04	12.94
23.05	12.58
23.06	12.37
23.07	12.16
23.08	11.94
23.09	11.73
23.1	11.51
23.11	11.3
23.12	11.08
23.13	10.87
23.14	11.01
23.15	11.3
23.16	11.58
23.17	11.87
23.18	12.16
23.19	12.44
23.2	12.73
23.21	13.01
23.22	13.3
23.23	13.44
23.24	13.8
23.25	14.16
23.26	14.51
23.27	14.87
23.28	15.23
23.29	15.59
23.3	15.94
23.31	16.3
23.32	16.52
23.33	16.02
23.34	15.52
23.35	15.02
23.36	14.51
23.37	14.01
23.38	13.51
23.39	13.01
23.4	12.51
23.41	11.8
23.42	11.23
23.43	10.65
23.44	10.08
23.45	9.51
23.46	8.94
23.47	8.37
23.48	7.79
23.49	7.22
23.5	7.36
23.51	7.36
23.52	7.36
23.53	7.36
23.54	7.36
23.55	7.36
23.56	7.36
23.57	7.36
23.58	7.36
23.59	7.22
23.6	7.08
23.61	6.94
23.62	6.79
23.63	6.65
23.64	6.51
23.65	6.36
23.66	6.22
23.67	6.08
23.68	6.08
23.69	6.65
23.7	7.22
23.71	7.79
23.72	8.37
23.73	8.94
23.74	9.51
23.75	10.08
23.76	10.65
23.77	11.23
23.78	11.58
23.79	11.94
23.8	12.3
23.81	12.66
23.82	13.01
23.83	13.37
