Depth	Gamma								
102.2	127.8								
102.3	130.8								
102.4	133.1								
102.5	135.4								
102.5	136.1								
102.6	136.9								
102.6	137.7								
102.7	141.4								
102.8	142.2								
103	139.9								
103.1	137.7								
103.2	137.7								
103.3	137.7								
103.4	137.7								
103.5	140.7								
103.6	143								
103.6	143.7								
103.7	146.8								
103.8	149								
103.9	149.8								
104.1	152.8								
104.1	153.6								
104.2	153.6								
104.2	152.8								
104.3	149								
104.3	146.8								
104.3	146.8								
104.4	144.5								
104.4	142.2								
104.5	139.9								
104.5	137.7								
104.6	138.4								
104.7	140.7								
104.8	140.7								
104.9	139.9								
104.9	138.4								
105	135.4								
105.2	135.4								
105.3	139.2								
105.4	142.2								
105.5	143.7								
105.8	146								
105.8	149.8								
105.8	151.3								
105.9	151.3								
105.9	151.3								
106	151.3								
106.1	149								
106.2	145.2								
106.3	145.2								
106.4	145.2								
106.4	144.5								
106.5	143.7								
106.6	143								
106.6	143								
106.8	143								
106.8	144.5								
106.8	146								
106.9	147.5								
107	147.5								
107	147.5								
107.1	146								
107.2	144.5								
107.3	143								
107.4	140.7								
107.4	140.7								
107.4	139.2								
107.5	136.1								
107.6	134.6								
107.8	136.1								
107.8	136.9								
107.9	139.2								
108.1	143								
108.2	146								
108.2	149.8								
108.3	149.8								
108.4	147.5								
108.5	145.2								
108.7	143								
108.7	145.2								
108.8	145.2								
108.9	145.2								
109.1	146								
109.3	144.5								
109.6	143.7								
109.5	141.4								
109.5	140.7								
109.5	139.9								
109.5	139.9								
109.6	138.4								
109.6	138.4								
109.7	136.9								
109.7	134.6								
109.7	133.1								
109.8	131.6								
109.9	130.8								
110.1	127.8								
110.1	127								
110.1	125.5								
110.1	123.2								
110.1	123.2								
110.2	121.7								
110.2	119.5								
110.3	117.9								
110.4	114.9								
110.4	114.9								
110.5	113.4								
110.6	113.4								
110.6	114.9								
110.7	118.7								
110.7	122.5								
110.7	126.3								
110.8	130.8								
110.9	133.1								
110.9	136.1								
111	138.4								
111.1	138.4								
111.1	136.1								
111.2	132.3								
111.3	130.8								
111.4	130.8								
111.6	133.1								
111.8	133.9								
111.9	133.9								
112.2	137.7								
112.3	139.2								
112.5	140.7								
112.7	144.5								
112.7	144.5								
112.9	144.5								
112.9	145.2								
113	149								
113	152.1								
113	152.8								
113	154.3								
113.1	158.1								
113.1	158.1								
113.2	158.1								
113.2	153.6								
113.4	149								
113.4	146								
113.5	145.2								
113.6	143								
113.8	142.2								
114	145.2								
114.2	149								
114.4	152.1								
114.5	156.6								
114.4	158.1								
114.5	158.9								
114.7	158.9								
114.7	154.3								
114.7	150.5								
114.7	147.5								
114.7	143								
114.8	137.7								
114.9	133.1								
115.1	133.1								
115.2	135.4								
115.4	137.7								
115.6	140.7								
115.7	141.4								
115.8	143								
115.8	143								
115.9	146								
116	147.5								
116.1	152.1								
116.1	152.8								
116.1	152.8								
116.2	152.8								
116.2	150.5								
116.3	147.5								
116.3	143								
116.3	142.2								
116.4	139.9								
116.5	138.4								
116.5	136.9								
116.5	136.1								
116.5	133.9								
116.5	133.1								
116.5	132.3								
116.8	132.3								
116.9	134.6								
117	139.2								
117.1	139.9								
117.2	143.7								
117.3	146								
117.3	147.5								
117.3	147.5								
117.5	149.8								
117.6	149.8								
117.7	149								
117.8	148.3								
117.8	146.8								
117.8	146								
118	146.8								
118.1	147.5								
118.1	148.3								
118.2	148.3								
118.3	147.5								
118.3	146.8								
118.3	144.5								
118.3	142.2								
118.4	139.9								
118.5	137.7								
118.6	136.9								
118.6	136.1								
118.7	135.4								
118.7	135.4								
118.8	135.4								
118.8	136.1								
119	139.2								
119	141.4								
119.1	143.7								
119.2	146.8								
119.3	147.5								
119.3	148.3								
119.4	147.5								
119.5	147.5								
119.5	145.2								
119.5	145.2								
119.5	143.7								
119.6	140.7								
119.7	139.2								
119.7	137.7								
119.7	135.4								
119.7	133.9								
119.8	133.1								
119.8	132.3								
119.8	131.6								
119.8	131.6								
119.9	130.8								
119.9	130.1								
120	130.1								
120	130.1								
120	130.1								
120.1	132.3								
120.2	132.3								
120.3	133.9								
120.3	136.9								
120.3	136.9								
120.4	137.7								
120.5	138.4								
120.5	138.4								
120.6	139.2								
120.7	139.2								
120.8	137.7								
120.9	136.1								
120.9	136.1								
121	133.9								
121	133.1								
121	130.1								
121.1	128.6								
121.2	127								
121.3	127								
121.3	126.3								
121.4	124.8								
121.5	124								
121.5	124								
121.7	124.8								
