Depth	Gamma
161.2	92.3
161.3	91.1
161.4	89.8
161.5	89.8
161.6	91.1
161.7	91.1
161.9	89.8
161.9	88.6
162	87.4
162	86.8
162.1	85.6
162.1	85.3
162.2	86.2
162.3	89.5
162.6	91.1
162.6	91.4
162.7	92.3
162.8	91.4
162.9	90.8
163.1	89.5
163.1	89.2
163.1	89.2
163.2	89.8
163.3	92.3
163.4	93.2
163.5	93.2
163.7	94.1
163.8	95
163.9	95
164	94.7
164.1	93.5
164.2	92.3
164.2	91.1
164.2	90.5
164.2	90.5
164.4	91.7
164.4	92
164.6	91.7
164.7	90.8
164.8	89.8
164.9	89.5
164.9	89.5
165	89.5
165.2	90.8
165.2	92.6
165.2	92.9
165.3	93.5
165.4	92.9
165.4	92.6
165.6	93.5
165.6	95.6
165.7	95.9
165.7	96.8
165.9	98
166	99.3
166	99.6
166	100.2
166.1	100.5
166.1	101.4
166.2	102.3
166.3	103.2
166.3	103.5
166.5	102.6
166.6	101.4
166.6	100.5
166.6	99.6
166.7	99
166.9	99
167	99
167	99
167.1	98
167.2	98
167.2	98
167.3	98.6
167.3	99
167.5	98.3
167.6	98
167.9	99.3
167.9	99.3
168	98
168.1	98
168.1	98
168.2	97.4
168.4	96.2
168.5	95
168.6	94.7
168.6	93.8
168.6	93.2
168.7	93.5
168.7	92
168.8	90.1
168.9	89.5
169	88.6
169.3	89.2
169.3	89.5
169.4	92.9
169.6	95
169.8	97.7
169.8	97.7
169.9	99.6
169.9	100.5
170	100.5
170.1	100.8
170.1	100.8
170.2	101.4
170.4	99.6
170.5	98
170.6	97.1
170.6	97.1
170.8	98
170.9	99.9
171	100.5
171.2	100.5
171.2	101.1
171.4	102.3
171.4	103.2
171.6	104.4
171.7	104.4
171.9	102
171.9	101.1
171.9	100.5
171.9	99
171.9	97.4
172	96.8
172.2	97.4
172.3	97.7
172.3	96.8
172.3	96.2
172.4	95.6
172.4	95
172.5	93.8
172.6	93.5
172.6	95.3
172.8	96.5
172.8	96.5
172.9	95
173	94.7
173.1	94.7
173.2	93.8
173.2	92.9
173.2	92
173.3	92
173.3	91.1
173.4	90.5
173.5	89.8
173.6	88.3
173.7	88.3
173.9	89.8
174	91.4
174.2	92.6
174.2	92.9
174.5	95.9
174.6	96.8
174.6	97.1
174.7	95.9
174.9	96.5
174.9	97.4
175	97.7
175	97.7
175.1	97.7
175.3	97.7
175.4	97.1
175.4	96.8
175.5	96.5
175.6	96.5
175.8	95.6
176	97.4
176	98
176.1	98.6
176.1	98.6
176.2	98.3
176.3	98
176.3	97.7
176.3	96.2
176.3	94.7
176.4	94.4
176.5	96.5
176.6	98.3
176.7	99.6
176.7	99.9
176.8	101.1
176.8	101.4
177	101.4
177.1	101.1
177.2	99.3
177.2	98.6
177.3	97.1
177.4	96.5
177.4	96.5
177.5	97.4
177.7	99
177.8	100.8
178	102
178.1	101.4
178.1	101.1
178.1	99.3
178.1	99
178.3	98.6
178.4	98.3
178.4	97.4
178.7	96.5
178.9	95
179	94.4
179.1	96.5
179.2	98
179.3	98.6
179.3	99
179.4	99
179.5	97.4
179.7	96.8
179.7	96.8
180	96.8
180	96.8
180.2	96.8
180.4	96.5
180.5	95.3
180.5	93.8
180.5	92.6
180.6	91.4
180.8	90.8
180.9	91.4
180.9	91.7
181.1	94.1
181.1	94.4
181.1	95.9
181.2	97.4
181.3	97.4
181.4	96.8
181.6	98
181.8	99.6
181.8	99.6
181.9	99.9
182	100.2
182.1	101.7
182.2	102.9
182.3	102.6
182.5	100.8
182.5	98
182.6	96.2
182.6	95.9
182.6	94.7
182.6	93.5
182.8	92.6
183	94.1
183.1	94.4
183.2	94.4
183.2	93.8
183.2	93.2
183.2	92.9
183.4	91.7
183.5	90.1
183.5	88.6
183.7	88.6
183.9	89.8
184.1	89.8
184.2	89.8
184.4	90.8
184.5	93.2
184.5	95.3
184.6	97.4
184.6	98
184.6	99.3
184.6	101.7
184.7	103.5
184.7	105.6
184.7	105.9
184.7	107.1
184.7	107.5
184.8	109
184.9	110.2
185	110.8
185.3	107.5
185.4	104.4
185.5	100.8
185.5	100.2
185.6	99.6
185.8	99
185.9	101.1
186	101.7
186.1	102
186.3	104.1
186.4	105.3
186.5	104.1
186.7	103.5
186.9	103.8
187	103.8
187.1	102.9
187.2	102.3
187.2	101.4
187.2	99.6
187.3	98.6
187.4	96.8
187.4	96.5
187.6	97.1
187.8	99.3
187.9	100.8
187.9	101.1
188	101.7
188.2	100.5
188.2	99.6
188.3	100.8
188.5	103.2
188.6	105.3
188.6	104.4
188.7	103.5
188.8	103.5
188.9	103.8
189	102.9
189	102.9
189	102.9
189	102
189.1	102
189.3	102.9
189.5	103.5
189.5	103.5
189.6	102.9
189.6	101.7
189.6	100.8
189.7	100.5
189.8	99.9
189.9	100.2
190	101.1
190.1	102.9
190.2	105.3
190.2	107.1
190.2	108.1
190.2	109
190.3	109.6
190.4	109.6
190.4	109.3
190.6	107.1
190.6	105.3
190.7	104.4
190.7	103.8
190.7	102.9
190.7	102.3
190.8	102.3
190.9	102
191	102
191.1	102.6
191.3	102.6
191.3	101.4
191.4	100.2
191.5	99.9
191.5	99.9
191.6	101.1
191.7	104.7
191.8	106.2
191.8	107.8
191.9	108.4
192	109
192	109.3
192	110.2
192.2	111.1
192.3	112.3
192.4	112.6
192.4	112.6
192.5	113.2
192.5	113.2
192.5	113.8
192.6	114.4
192.7	114.7
192.8	114.7
192.9	114.1
193	112.3
193	110.2
193	108.4
193	108.1
193	108.1
193	106.5
193	105
193.2	103.8
193.2	103.5
193.2	102.3
193.3	101.4
193.4	101.1
193.6	99.6
193.7	99.6
193.7	99.6
193.9	100.5
194	101.7
194.2	101.4
194.2	100.8
194.2	100.5
194.5	101.7
194.8	103.5
194.8	103.8
194.9	105
195	105.6
195.2	105.6
195.3	102.9
195.3	101.1
195.3	101.1
195.3	100.2
195.3	99.6
195.4	99
195.5	98.3
195.7	97.7
195.7	97.1
195.8	96.5
195.8	96.5
196	97.4
196.4	99.9
196.4	100.2
196.6	99.9
196.6	99.6
196.6	98.6
196.8	98.3
196.9	98.3
196.9	98.6
197.1	100.2
197.3	102.3
197.6	103.2
197.6	104.1
197.6	104.7
197.7	107.1
197.7	109.6
197.7	111.4
197.7	111.7
197.7	112.9
197.7	113.8
197.8	115
198	115
198	115
198.1	113.5
198.2	111.7
198.2	110.2
198.3	109.9
198.3	109.3
198.5	109
198.5	108.7
198.6	107.8
198.6	107.1
198.6	105.6
198.7	104.4
198.7	103.5
198.7	103.2
198.9	102.3
199	101.4
199	101.1
199	100.8
199	100.2
199.2	99.9
199.4	100.5
199.4	100.5
199.6	101.1
199.7	102.9
