Depth	Gamma
152.1	159.1
152.2	156.9
152.2	153.1
152.2	152.1
152.3	147.2
152.3	144
152.3	140.7
152.3	137
152.2	132.1
152.2	127.8
152.2	123.5
152.2	123
152.2	118.7
152.2	118.1
152.3	113.8
152.4	107.4
152.4	104.1
152.4	103.6
152.5	101.4
152.6	99.3
152.7	96.1
152.9	93.4
153	92.3
153	92.3
153.1	93.4
153.2	91.2
153.2	89.6
153.2	89.6
153.3	86.9
153.3	84.2
153.3	83.1
153.4	81
153.5	77.2
153.6	73.4
153.7	71.3
153.7	70.7
153.8	68.6
154	66.4
154.2	67
154.2	67
154.3	69.7
154.3	70.7
154.3	70.7
