"Row","Depth","RES","RES Color","Top Names","Top Depth","Top Color"
"669","132.1","11.4","","","",""
"670","132.5","11.4","","","",""
"671","132.7","11.1","","","",""
"672","132.7","10.7","","","",""
"673","132.7","10.4","","","",""
"674","133","10.4","","","",""
"675","133","10.4","","","",""
"676","133.1","10.4","","","",""
"677","133.6","10.4","","","",""
"678","134.3","10.7","","","",""
"679","134.3","10.7","","","",""
"680","134.5","10.4","","","",""
"681","134.5","10.4","","","",""
"682","134.7","10.7","","","",""
"683","134.7","10.7","","","",""
"684","134.9","10.7","","","",""
"685","135.1","10.7","","","",""
"686","135.3","10.4","","","",""
"687","135.3","10","","","",""
"688","135.3","9.8","","","",""
"689","135.3","9.8","","","",""
"690","135.6","9.8","","","",""
"691","135.8","10.3","","","",""
"692","136.2","10.7","","","",""
"693","136.7","9.8","","","",""
"694","136.9","9.2","","","",""
"695","137.3","8.6","","","",""
"696","137.8","8.5","","","",""
"697","138","9.1","","","",""
"698","138.4","9.1","","","",""
"699","138.7","9.4","","","",""
"700","138.7","9.4","","","",""
"701","138.7","10.7","","","",""
"702","139.1","11.4","","","",""
"703","139.3","10.4","","","",""
"704","139.3","10","","","",""
"705","139.3","9.8","","","",""
"706","139.7","10","","","",""
"707","139.7","10.3","","","",""
"708","140","10.7","","","",""
"709","140.4","10.7","","","",""
"710","140.8","11","","","",""
"711","140.8","11.4","","","",""
"712","140.8","12.2","","","",""
"713","141","11.1","","","",""
"714","141","10","","","",""
"715","141","9.4","","","",""
"716","141","9.4","","","",""
"717","141.5","10","","","",""
"718","141.5","10.3","","","",""
"719","141.5","9.4","","","",""
"720","141.5","8.8","","","",""
"721","141.5","7.8","","","",""
"722","141.7","6.8","","","",""
"723","141.7","6.4","","","",""
"724","141.7","6.2","","","",""
"725","141.7","5.8","","","",""
"726","141.9","6.8","","","",""
"727","142.2","7.3","","","",""
"728","142.2","8","","","",""
"729","142.2","9.1","","","",""
"730","142.4","10","","","",""
"731","142.6","10.7","","","",""
"732","142.8","11","","","",""
"733","142.8","9.8","","","",""
"734","142.8","9.2","","","",""
"735","142.8","8.8","","","",""
"736","143.2","8.8","","","",""
"737","143.2","9.1","","","",""
"738","143.2","9.4","","","",""
"739","143.5","9.7","","","",""
"740","143.9","9.7","","","",""
"741","144.1","9.7","","","",""
"742","144.4","10","","","",""
"743","144.4","9.2","","","",""
"744","144.4","8.8","","","",""
"745","144.5","8.6","","","",""
"746","144.5","9.1","","","",""
"747","144.5","9.7","","","",""
"748","144.8","9.7","","","",""
"749","145","10","","","",""
"750","146.1","10.4","","","",""
"751","146.1","10","","","",""
"752","146.3","10","","","",""
"753","146.3","10.7","","","",""
"754","146.3","11.8","","","",""
"755","146.6","10.7","","","",""
"756","146.6","9.4","","","",""
"757","146.7","9.2","","","",""
"758","146.7","9.2","","","",""
"759","146.7","8.6","","","",""
"760","147","8.3","","","",""
"761","147.2","8.3","","","",""
"762","147.4","8.3","","","",""
"763","147.4","8.5","","","",""
"764","147.6","8.8","","","",""
"765","148.1","10.3","","","",""
"766","148.1","10.7","","","",""
"767","148.3","11","","","",""
"768","148.3","11.4","","","",""
"769","148.5","10.4","","","",""
"770","148.5","10.4","","","",""
"771","148.7","9.8","","","",""
"772","148.7","9.2","","","",""
"773","148.7","9.2","","","",""
"774","148.9","9.4","","","",""
"775","148.9","9.4","","","",""
"776","149.6","9.4","","","",""
"777","149.8","9.7","","","",""
"778","149.8","10.3","","","",""
"779","150.1","10.3","","","",""
"780","150.4","9.5","","","",""
"781","150.4","9.2","","","",""
"782","150.6","8.9","","","",""
"783","151.2","9.5","","","",""
"784","151.1","10.1","","","",""
"785","151.1","10.4","","","",""
"786","151.2","10.8","","","",""
"787","151.4","10.1","","","",""
"788","151.4","9.9","","","",""
"789","151.4","9.2","","","",""
"790","151.4","8.4","","","",""
"791","151.7","8.4","","","",""
"792","151.9","8.6","","","",""
"793","152.1","9.2","","","",""
"794","152.1","9.5","","","",""
"795","152.3","9.8","","","",""
"796","153","9.8","","","",""
"797","153","10.1","","","",""
"798","153.2","10.1","","","",""
"799","153.6","10.8","","","",""
"800","154.1","11.1","","","",""
"801","154.1","11.1","","","",""
"802","154.1","10.8","","","",""
"803","154.1","10.8","","","",""
"804","154.1","9.5","","","",""
"805","154.1","9.2","","","",""
"806","154.5","9.2","","","",""
"807","154.9","8.9","","","",""
"808","154.9","9.5","","","",""
"809","155.2","9.5","","","",""
"810","155.2","9.5","","","",""
"811","155.8","9.2","","","",""
"812","156.1","8.9","","","",""
"813","156.1","9.5","","","",""
"814","156.1","10.4","","","",""
"815","156.1","11.1","","","",""
"816","156.1","11.5","","","",""
"817","156.7","11.9","","","",""
"818","156.7","11.9","","","",""
"819","156.7","10.8","","","",""
"820","156.7","10.1","","","",""
"821","156.9","9.9","","","",""
"822","156.9","9.5","","","",""
"823","156.9","9.5","","","",""
"824","156.9","9.2","","","",""
"825","157.1","8.7","","","",""
"826","157.1","8.1","","","",""
"827","157.4","8.1","","","",""
"828","157.4","8.1","","","",""
"829","157.6","8.6","","","",""
"830","157.6","8.9","","","",""
"831","157.8","9.2","","","",""
"832","158","9.8","","","",""
"833","158.3","10.1","","","",""
"834","158.3","10.1","","","",""
"835","158.7","9.5","","","",""
"836","158.7","9.5","","","",""
"837","158.7","9.8","","","",""
"838","158.9","10.4","","","",""
"839","158.9","10.8","","","",""
"840","159.1","11.1","","","",""
"841","159.6","11.1","","","",""
"842","159.6","10.1","","","",""
"843","159.8","9.9","","","",""
"844","159.8","9.5","","","",""
"845","159.8","9.2","","","",""
"846","160.2","8.7","","","",""
"847","160.2","8.4","","","",""
"848","160.6","8.4","","","",""
"849","161.3","8.9","","","",""
"850","161.8","9.2","","","",""
"851","161.8","9.5","","","",""
"852","162","10.4","","","",""
"853","162","10.8","","","",""
"854","162.2","11.1","","","",""
"855","162.4","11.1","","","",""
"856","162.7","9.5","","","",""
"857","162.7","8.9","","","",""
"858","162.7","8.7","","","",""
"859","162.7","8.7","","","",""
"860","162.8","8.7","","","",""
"861","163.1","8.7","","","",""
"862","163.3","8.7","","","",""
"863","163.7","8.4","","","",""
"864","164","8.1","","","",""
"865","164.4","8.1","","","",""
"866","164.6","8.4","","","",""
"867","164.6","8.6","","","",""
"868","164.6","9.2","","","",""
"869","164.6","9.8","","","",""
"870","165","10.1","","","",""
"871","165","10.8","","","",""
"872","165.3","10.5","","","",""
"873","165.5","9.2","","","",""
"874","165.5","8.9","","","",""
"875","165.7","8.7","","","",""
