X,Y,MD,Surface,Well
1644533,6314706,383.73,Ireviken peak 4,Sundre-1_A
1644533,6314706,388.4,Ireviken peak 3,Sundre-1_A
1644533,6314706,393.82,Ireviken peak 2,Sundre-1_A
1644533,6314706,398.16,Ireviken peak 1,Sundre-1_A
1644533,6314706,449.87,base telychian,Sundre-1_A
1644533,6314706,460.07,base silurian,Sundre-1_A
1644533,6314706,401.7,base Ireviken,Sundre-1_A
1644533,6314706,0,0m,Sundre-1_A
1644533,6314706,280,2ndmulde,Sundre-1_B
1644533,6314706,303.61,Mulde,Sundre-1_B
1644533,6314706,433.91,mid telychian unconformity?,Sundre-1_B
1644533,6314706,230.66,linde?,Sundre-1_B
1644533,6314706,99,Lau,Sundre-1_B
1644533,6314706,373.54,Ireviken peak 7,Sundre-1_B
1644533,6314706,376.36,Ireviken peak 6,Sundre-1_B
1644533,6314706,382.65,Ireviken peak 5,Sundre-1_B
1644533,6314706,387.85,Ireviken peak 4,Sundre-1_B
1644533,6314706,392.74,Ireviken peak 3,Sundre-1_B
1644533,6314706,396.1,Ireviken peak 2,Sundre-1_B
1644533,6314706,398.16,Ireviken peak 1,Sundre-1_B
1644533,6314706,453.45,base telychian,Sundre-1_B
1644533,6314706,462.87,base silurian,Sundre-1_B
1644533,6314706,415.85,base Ireviken,Sundre-1_B
1644533,6314706,0,0m,Sundre-1_B
1646136,6315815,273,2ndmulde,Vannes-1
1646136,6315815,295.1,Mulde,Vannes-1
1646136,6315815,413.26,mid telychian unconformity?,Vannes-1
1646136,6315815,225.54,linde?,Vannes-1
1646136,6315815,98.78,Lau,Vannes-1
1646136,6315815,358.9,Ireviken peak 7,Vannes-1
1646136,6315815,364.54,Ireviken peak 6,Vannes-1
1646136,6315815,368.12,Ireviken peak 5,Vannes-1
1646136,6315815,375.06,Ireviken peak 4,Vannes-1
1646136,6315815,379.61,Ireviken peak 3,Vannes-1
1646136,6315815,383.52,Ireviken peak 2,Vannes-1
1646136,6315815,387.32,Ireviken peak 1,Vannes-1
1646136,6315815,420.69,base telychian,Vannes-1
1646136,6315815,428.72,base silurian,Vannes-1
1646136,6315815,390.49,base Ireviken,Vannes-1
1646136,6315815,0,0m,Vannes-1
1652152,6328478,245,2ndmulde,Vastergarde-1
1652152,6328478,266.59,Mulde,Vastergarde-1
1652152,6328478,379.68,mid telychian unconformity?,Vastergarde-1
1652152,6328478,169.39,linde?,Vastergarde-1
1652152,6328478,52.13,Lau,Vastergarde-1
1652152,6328478,328.58,Ireviken peak 7,Vastergarde-1
1652152,6328478,332.92,Ireviken peak 6,Vastergarde-1
1652152,6328478,337.26,Ireviken peak 5,Vastergarde-1
1652152,6328478,342.03,Ireviken peak 4,Vastergarde-1
1652152,6328478,344.85,Ireviken peak 3,Vastergarde-1
1652152,6328478,349.25,Ireviken peak 2,Vastergarde-1
1652152,6328478,353.42,Ireviken peak 1,Vastergarde-1
1652152,6328478,389.01,base telychian,Vastergarde-1
1652152,6328478,398.18,base silurian,Vastergarde-1
1652152,6328478,357.11,base Ireviken,Vastergarde-1
1652152,6328478,0,0m,Vastergarde-1
1682657,6372151,0,0m,Vike-1
1682657,6372151,10,2ndmulde,Vike-1
1682657,6372151,164,Mulde,Vike-1
1682657,6372151,304,base Ireviken,Vike-1
1682657,6372151,340,base silurian,Vike-1
1643596,6338729,179,2ndmulde,Pete-1
1643596,6338729,214,Mulde,Pete-1
1643596,6338729,105,linde?,Pete-1
1643596,6338729,344,base silurian,Pete-1
1643596,6338729,307,base Ireviken,Pete-1
1643596,6338729,,0m,Pete-1
1663320,6345563,30,lau,Lukse-2
1663320,6345563,197,2ndmulde,Lukse-2
1663320,6345563,221,Mulde,Lukse-2
1663320,6345563,114.5,linde?,Lukse-2
1663320,6345563,357,base silurian,Lukse-2
1663320,6345563,311,base Ireviken,Lukse-2
1663320,6345563,0,0m,Lukse-2
1671193,6350654,206,2ndmulde,Maldes-1
1671193,6350654,240,Mulde,Maldes-1
1671193,6350654,120,linde?,Maldes-1
1671193,6350654,376,base silurian,Maldes-1
1671193,6350654,333,base Ireviken,Maldes-1
1671193,6350654,0,0m,Maldes-1
